Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
Improved Confidence,Passive,No,"May spend a triumph result on a fear check to steady the nerves of other allies making the same fear check. If the character does so, each ally within short range who makes the fear check adds automatic success results equal to the character's ranks in Confidence to the results of the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Confidence_talent,False,False,Confidence-B,False,False
Congenial,"Active (Incidental, Out of Turn)",Yes,"When attempting a Charm or Negotiation check, the character may suffer a number of strain to downgrade the difficulty of the check a number of times equal to the strain suffered. This number cannot exceed their ranks in Congenial. When the character is the target of a Charm or Negotiation check, they may suffer a number of strain to upgrade the difficulty of the check a number of times equal to the strain suffered. This number cannot exceed their ranks in Congenial.",https://star-wars-rpg-ffg.fandom.com/wiki/Congenial_talent,True,False,Congenial-A,True,False
Conjure,Force Ability,Force Ability,This force power allows one with the force to materialize weapons or items with pure willpower for a short period of time.,https://star-wars-rpg-ffg.fandom.com/wiki/Conjure,True,True,Conjure-A,False,True
Consider Our Options,Active (Action),No,"The character may take the Consider Our Options action, making a Hard Negotiation check. If the check succeeds, until the start of the character's next turn, any enemy who attacks the character suffers 2 strain, plus 1 strain per additional two success results on the character's check, before resolving the attack. (If this strain causes an adversary to become incapacitated, the GM may determine that adversary simply bows out of the fight.) The effect end immediately if the character inflicts damage on an enemy.",https://star-wars-rpg-ffg.fandom.com/wiki/Consider_Our_Options_talent,True,False,Consider Our Options-A,False,False
Improved Consider Our Options,Active (Incidental),No,"When the character takes the Consider Our Options action, the character may choose to have the effects also apply to attacks that target the character's allies who are within short range. The effects end for all characters if the character or an affected ally inflict damage on an enemy.",https://star-wars-rpg-ffg.fandom.com/wiki/Consider_Our_Options_talent,False,False,Consider Our Options-B,False,False
Constant Vigilance,Passive,No,The character may always choose to use the Vigilance skill when making checks to determine Initiative.,https://star-wars-rpg-ffg.fandom.com/wiki/Constant_Vigilance_talent,True,False,Constant Vigilance-A,False,False
Construction Specialist,Passive,Yes,"The character removes setback dice per rank of Construction Specialist from checks made to construct bases, defense works, positions, fortifications, tunnels, bunkers, and similar combat engineering projects.",https://star-wars-rpg-ffg.fandom.com/wiki/Construction_Specialist_talent,True,False,Construction Specialist-A,True,False
Contingency Plan,"Active (Incidental, Out of Turn)",No,The character may spend one Destiny Point to recover strain equal to their Cunning rating.,https://star-wars-rpg-ffg.fandom.com/wiki/Contingency_Plan_talent,True,False,Contingency Plan-A,False,False
Contraption,Active (Action),No,"Once per game session, the character can take a Contraption action. With a successful Hard Mechanics check, the character can fashion a device to solve a current problem using the tools and parts on hand. This device must be approved by the GM and functions for the duration of the current encounter only. Those tools are destroyed in the process. A triumph result may be spent to allow the tools to be recovered to be used later.",https://star-wars-rpg-ffg.fandom.com/wiki/Contraption_talent,True,False,Contraption-A,False,False
Convincing Demeanor,Passive,Yes,The character removes a setback dice per rank of Convincing Demeanor from their Deception and Skulduggery checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Convincing_Demeanor_talent,True,False,Convincing Demeanor-A,True,False
Coordinated Assault,Active (Maneuver),Yes,"The character may make a Coordinated Assault maneuver. If they do so, a number of allies engaged with the character equal to the character's ranks in Leadership gain an advantage result on combat checks they make until the beginning of the character's next turn. The range of this maneuver increases by one band per rank of Coordinated Assault.",https://star-wars-rpg-ffg.fandom.com/wiki/Coordinated_Assault_talent,True,False,Coordinated Assault-A,True,False
Coordination Dodge,"Active (Incidental, Out of Turn)",No,"When targeted by a combat check, the character may spend one Destiny Point to add a number of failure results equal to their ranks in Coordination to the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Coordination_Dodge_talent,True,False,Coordination Dodge-A,False,False
Corellian Sendoff,Active (Action),No,"When piloting a starship or vehicle, the character may take a Corellian Sendoff action targeting two enemy starships or vehicles in the encounter that are both of equal or smaller size than the character's ship. The character makes a Hard Cool check; if it succeeds, the targeted ships immediately suffer a minor collision with each other. For the rest of the encounter, both ships add two setback dice to all checks. The character may spend a triumph result on this check to destroy one of the targeted enemy ships.",https://star-wars-rpg-ffg.fandom.com/wiki/Corellian_Sendoff_talent,True,False,Corellian Sendoff-A,False,False
Improved Corellian Sendoff,Passive,No,"When the character performs a Corellion Sendoff action, the targets suffer a major collision instead of a minor one.",https://star-wars-rpg-ffg.fandom.com/wiki/Corellian_Sendoff_talent,False,False,Corellian Sendoff-B,False,False
Counterespionage,Signature Ability,Signature Ability,"Spies know foiling the plots of enemy agents is always paramount, and devote much preparation to thwarting these schemes. This might be done via hiding weapons in a meeting place, ensuring ""innocent bystanders"" are in fact armed backup, or other cunning and clever ploys. The more agents are aware of their opposite numbers and enemy tactics, the better they can achieve their goals. Counterespionage ideally leads to the grand prize: turning an enemy into a valuable double agent.",https://star-wars-rpg-ffg.fandom.com/wiki/Counterespionage,True,False,Counterespionage-A,False,True
Counterstrike,Passive,No,"Force talent. Whenever an attack misses the character, the character may spend two threats or a despair result to upgrade the next Lightsaber (Cunning) combat check they make against the attacked during their next turn once.",https://star-wars-rpg-ffg.fandom.com/wiki/Counterstrike_talent,True,True,Counterstrike-A,False,False
Coven,Active (Maneuver),No,"Force talent. The character may perform the Coven maneuver. On their next Force power check, they may reroll one Force dice for each ally within short range who also possesses the Coven talent.",https://star-wars-rpg-ffg.fandom.com/wiki/Coven_talent,True,True,Coven-A,False,False
Creative Design,Passive,Yes,"As part of resolving a successful crafting check, the character may also apply a result equivalent to spending a number of advantage results equal to their ranks in Creative Design. The GM may then apply a result equivalent to spending that same number of threat results.",https://star-wars-rpg-ffg.fandom.com/wiki/Creative_Design_talent,True,False,Creative Design-A,True,False
Creative Killer,Passive,No,The character reduces the critical rating of all improvised weapons they are wielding by 2 (to a minimum of 1).,https://star-wars-rpg-ffg.fandom.com/wiki/Creative_Killer_talent,True,False,Creative Killer-A,False,False
