,Equipment,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description,Type,Defense,Soak
375,Climbsuit,,,,,2,2,1450,4,No,,"The Climbsuit is a popular set of armour designed specifically for climbing as the name indicates. It is a full-body suit made of impact-absorbing lightweight fabrics, along with a set of load-bearing straps on an integrated harness. Upgrade ability of wearer's checks to climb or rappel down a surface once. Reduce damage and strain suffered by falling by 5 and critical injury results from falling by 10",armor,0.0,1.0
376,Holographic Costume,,,,,2,0,750,8,No,,"This glossy form-fitting suit is lined with holoprojectors that are capable of projecting any dress our outfit programmed upon the user. Recording a new garment requires an Easy (1 difficulty) Computers check while in possession of the clothing, or a Daunting (4 difficulty) Computers check to create a copy of the clothes that are not in hand",armor,1.0,0.0
377,Heavy Robes,,,,,1,0,150,2,No,,"Often worn by Jedi for ceremonial purposes, they provide little defense against incoming damage except in making the wearer's profile harder to ascertain for an accurate shot. ",armor,1.0,0.0
378,Individual Field Disruptor,,,,,0,0,9500,7,Yes,,"A field disruptor is usually used to disable starship or vehicle shielding, but scaled down it allows the neutralising of a target's defenses and weaponry. If the field of a disruptor contacts another energy field, the other field ceases to offer any defense as long as they intersect. If the field enters in range of a droid, the droid suffers 5 stun damage. If the field enters in range of an electronic device, the device shorts out and becomes inactive for the rest of the encounter. If the wearer makes a melee attack while the field is active, the wearer counts as being armed with a Melee weapon with +2 damage and Stun Damage quality.",armor,1.0,0.0
379,Megafauna Carriage  (for animals),,,,,5,2,5500,7,No,,"This is a broad platform that can be attached to a creature's back to form a canopy which is great for weapon emplacements. May only be worn by riding creatures with a silhouette of at least 3 and a brawn rating of at least 5. If the creatures has more than 4 legs, modifications require 500 credits extra. May attach one or two vehicle sized weapons following usual rules. May ride beast without bareback penalty.",armor,1.0,0.0
380,TX-3 Combat Flight Suit,,,,,4,2,3000,6,Yes,,"Produced for system defense force pilots, the flight suit protects pilots from the dangers of space combat. It is similar in design to the Imperial flight suit.  Survive up to 24 hours in hard vacuum (without external oxygen source)",armor,1.0,0.0
381,Biogel Suit,,,,,6,0,350,1,No,,These suits have been used by students and teachers to protect themselves during martial arts training. The body-glove is designed to prevent blunt force but is quite bulky. Add +1 soak when the wearer suffers damage from Brawl or bludgeoning Melee weapons. Add 1 setback dice to any Brawn or Agility checks while wearing this armour.,armor,0.0,2.0
382,Jedi Training Suit,,,,,04-Jun,0,400,9,Yes,,"Used to train the Jedi's athletic abilities and prepare them for true combat, it was usually accompanied with a blinding helmet. It features in-built weights. Encumbrance is 6 until weights are removed by an easy (1 difficulty) mechanics check.",armor,0.0,2.0
383,Padded Beast Armour  (for animals),,,,,4,0,2500,5,No,,This set of flexible heavy-duty fibres and armour weave is built to add versatile protection to riding beasts. Can only be worn by beasts. Allows riding without bareback penalties.,armor,0.0,2.0
384,"""Storm"" Charge Suit",,,,,3,0,2000,6,No,,"The ""Storm"" suit is essentially padded armour lined with fabrics which are resistant to electrical energy. When switched on, it is able to channel the electrical energy into an enemy which comes into direct contact with the suit. If an attacker using melee gets a despair result, they are hit by an attack dealing 8 damage to strain. If the attack generates 2 disadvantage results, attacker is disoriented for 1 round. Counts as being equipped with Shock Gloves.",armor,0.0,2.0
385,Sith Pain Harness,,,,,2,0,3500,9,Yes,,"This piece of 'armour' was developed over many generation by the sith to reinforce their philosophy. While moving in this armour, one must proceed with extreme care to not be injured by the sharp interlocking metal plates that make it up. Wearer may suffer one wound as an incidental to add an automatic success to the next discipline check they make during the current round, then suffer 1 conflict.",armor,0.0,2.0
386,Padded Armour,,,,,2,0,500,1,No,,"A common form of armour used by security, consisting of certain plates weaved onto the clothes beneath.",armor,0.0,2.0
387,Custom Tailored Armoured Jacket,,,,,1,0,6200,7,No,,"Produced by a small boutique manufacturer, this outfit is a protective piece of clothing, exclusively tailoured to order. It is popular with those of influential positions and entertainers, being quite a great first impression.  When worn by person it is tailored to, add an automatic advantage result to any successful Charm, Deception or Negotiation checks done in person.",armor,0.0,2.0
388,Catch Vest,,,,,1,0,300,3,No,,This is an outfit made of energy-dispersing fabrics and generally as good as laminate when it comes to defense against blaster shots - yet not so good when it comes to anything else.  Only counts as Soak 1 against non-energy weapons.,armor,0.0,2.0
389,Ancient Battle Armour,,,,,6,1,3750,9,No,,"The armour worn by the ancient jedi fits the threats of the time, and thus don't necessarily hold up to the more advanced equipment found today. Found in archaeological digs, force users may find something special about these defensive plates. Gain Defense +1 when this is worn by a character with a force rating of 1 or higher.",armor,0.0,2.0
390,Mechanic's Utility Suit,,,,,5,1,1175,3,No,,This set of clothing is really just a utility suit lined with pockets and straps filled with all sorts of common tools that the technician may require. Counts as having a tool kit,armor,0.0,2.0
391,Hunter's Trophy Suit,,,,,4,1,2000,9,Yes,,"Hunters often enjoy displaying their prowess in the wild, crafting suits of armour out of the hide and skins of their prey. While these outfits can be bought outright - most will take a creature's skin to be made custom.  If bought pre-made;  If user supplies the hide of the beast to create the armour; Add 1 setback dice to Charm checks, but add 2 boost dice to Coercion checks.",armor,0.0,2.0
392,"""Luck"" Armour",,,,,4,1,1000,5,No,,"The Creshaldyne riot armour, as it is properly called, is favoured by many security forces in the galaxy. Due to its integrated motion and infrared sensors, the wearer is well aware of their surroundings. Add 1 advantage result to Vigilance checks.",armor,0.0,2.0
393,Chitin Armour,,,,,4,1,600,6,No,,"Chitin armor is usually made by hand from the husk of carious giant insect species found throughout the galaxy. Essentially a poor person's composite armor, chitin armor is made by working insect carapaces into protective plates and attaching them to a flexible backing. This is typically standard cloth, but occasionally more advanced materials like nylamesh or the ballistic cloth used in armored bodysuits is used. Each suit of chitin armor is unique. Depending on the materials used a chitin suit can be any color or style imaginable. The creatures whose hides are used in the construction of a suit of chitin armor might also offer protective qualities such as the ability to better deflect blaster bolts or blend into specific environments. Chitin armor makes a strong statement about the wearer, and these suits tend to have a startling effect on people in civilized society. A character wearing a suit of chitin armor adds automatic [ADVANTAGE] to her coercion checks and automatic [THREAT] on her charm checks. The Game Master may determine that the armor provides further benefits of drawbacks depending on the situations. Add an advantage result to Coercion checks, and a disadvantage result to Charm checks.",armor,0.0,2.0
394,NightStalker Infiltration Suit,,,,,2,1,4800,9,Yes,,This lightweight yet durable suit of armour combines decent protection with light and sound dampening materials that result in a stealth enhancing suit. Add an automatic success to Stealth checks. Add an automatic disadvantage to social skill checks.,armor,0.0,2.0
395,Shockrider Crash Suit,,,,,2,1,3000,3,No,,"This suit is built for pilots of extremely fast atmospheric vehicles, to protect them against possible harm when suffering collisions. Reduce strain to the pilot due to a critical hit to the vehicle by 1. Reduce damage due to fire and the burn quality by 1.",armor,0.0,2.0
396,Enviro-suit,,,,,2,1,750,2,No,,These suits are generally full body and bulky suits that are environmentally sealed and reinforced against whatever hostile elements will be most pertinent. Protects user from a specified environmental condition for 8 hours. Add 1 setback dice to any Agility-based or Perception checks while wearing the suit.,armor,0.0,2.0
397,P-14 Hazardous Industry Suit,,,,,7,2,1000,4,No,,"Technicians work with relatively dangerous equipment and materials, and this suit is an especially heavy-duty form. It allows defense against fire and bright lights, or other hazards, even blaster bolts. Counts as a breath mask. Add 2 boost dice to Resilience checks to resist heat, cold, radiation and other hostile environmental conditions. Do not suffer Burn or Disorient qualities. Suffer 1 additional strain to take an extra maneuver.",armor,0.0,2.0
398,"Mk II ""Hotspot"" Insulated Armour",,,,,6,2,5500,7,Yes,,"This clone trooper laminate armour has been modified for use by Flame Troopers, a specialised unit of the GAR. Due to their use of flame projectors - which are quite dangerous weapons in their own right - this armour was produced to reduce the adverse health effects.  Comes with built-in comlink. Add 2 boost dice to checks for avoiding adverse effects from exposure to extreme heat or toxic gases. Reduces damage from fire and hazardous environments by 1. Attackers must spend 1 additional advantage result to activate Burn Item, and treat quality as 1 lower.",armor,0.0,2.0
399,HT-77 Cold Assault Armour,,,,,6,2,4000,7,Yes,,This set of laminate clone armour has been specially modified with additional flaps and thermal seals to resist temperature differences. The helmets are also equipped with slightly improved optics to keep visibility of the trooper despite blizzard cover.  Comes with built-in comlink. Add 2 boost dice to checks for avoiding adverse effects from exposure to cold temperatures and weather. Remove 1 setback dice imposed by cold-weather conditions on Perception checks.,armor,0.0,2.0
400,Formal Council Armour,,,,,5,2,8000,10,Yes,,These are very ornate suits worn by members of the Jedi Council when sent to act on behalf of the council with societies entrenched in high class and tradition. Add 2 advantage results to Negotiation checks when interacting with individuals who hold Jedi in high regard. [At GM's discretion:] Add 2 advantage results to Coercion checks when interacting with individuals who hate/fear the Jedi.,armor,0.0,2.0
401,Scavenged Clone Armour,,,,,5,2,1000,4,Yes,,"Clone armour, although built to fit a clone trooper, provides a decent amount of protection - and it is easy to find among the battlefields of the Clone Wars. Despite the unwanted attention and awkwardness of modifying the armour to fit another being, some still choose to take it for their own use. Add 1 setback dice to Coordination and Stealth checks. Suffer 1+ setback dice when interacting with Republic officials and representatives",armor,0.0,2.0
402,Seascape Diving Suit,,,,,3,2,400,2,No,,"Due to the surprisingly large number of sentient species which live amphibiously, the SeaScape suit has become especially popular among diplomats from land-based civilisations as it facilitates underwater negotiations. Provides 6 hours of atmosphere, water and nutrition supplements to the wearer. Wearer does not suffer movement penalties for travelling through water.",armor,0.0,2.0
403,Riot Armour,,,,,3,2,950,4,No,,"Produced by countless manufacturers throughout the galaxy, riot armor is a general term for light combat armor designed for personal protection in high-intensity conflicts. Though designs vary, riot armor often includes a helmet with an integrated face shield and padded vest and greaves interwoven with ballistic cloth. Given its ubiquity and customizability, riot armor remains a popular choice for anyone interested in self-defense on a budget.",armor,0.0,2.0
404,Clone Dive Armour,,,,,3,2,4500,7,Yes,,"Designed for use by the Clones when fighting on the water worlds of the republic, such as Mon Cala, they were designed to provide the non-aquatic species the necessary qualities for combat in such environments. Provides 12 hours of oxygen, a fresh water supply, nutrition supplements and other biological necessities. Wearer does not suffer movement penalties through water. Remove 1 setback dice from Perception checks due to underwater conditions.",armor,0.0,2.0
405,Clone Reconnaissance Armour,,,,,3,2,4000,6,Yes,,This armour was distributed to troopers sent on scouting and recon missions where stealth was more important than protection. It minimized some of the armour plating in favour of providing mobility. Often it was repainted by troopers for the terrain they were deployed to. Add 1 boost dice to Stealth checks. Remove 1 setback dice from visual Perception check made thanks to the visor's integrated thermal and low-light sensors.,armor,0.0,2.0
406,Alliance Light Stealth Armour,,,,,3,2,2200,7,Yes,,"The inferior numbers and resources of the Alliance military force rebel soldiers to rely on stealth and subterfuge to accomplish most of their missions. Unfortunately, cutting-edge Imperial sensors can often detect life forms and energy signatures from conventional blaster weaponry, making some infiltration missions impossible. Rebel Soldiers have sometimes acquired functioning storm commando armor, but stealing from the enemy is not an especially reliable means of resupplying. That is why Alliance R&amp;D reverse-engineered the technology behind storm commando armor and developed their own, albeit lower-grade stealth armor. Most Alliance stealth armor is retrofitted MkII Clone Trooper armor leftover from the final days of the Republic sprayed in various camouflage patterns or a matte black. A coating of specialized material absorbs some light and sound waves making it easier for marines and special forces troops to move about unnoticed by sensors and sentries. This Armor adds [BOOST] to the wearer's Stealth checks. Add 1 boost die to Stealth checks.",armor,0.0,2.0
407,Laminate Armour,,,,,4,3,2500,5,No,,"Laminate armour is a set of plastoid plates put together onto a body-tight mesh below, such as the armour of Stormtroopers. Helmet includes vision enhancements and integrated comlinks.",armor,0.0,2.0
408,Phase I Clone Trooper Armour,,,,,4,3,2000,6,Yes,,"Mass-produced for use by the first batch of clones, this laminate armour focuses on function and protection. Full-body plating over a sealed body suit, the outfit was often customised as troopers built their individuality. However, comfort was placed as the lowest priority when this was designed, making it a bit awkward for those unfamiliar with it. Includes a Comlink",armor,0.0,2.0
409,Imperial Storm Commando Armour,,,,,4,4,5000,9,Yes,,"Storm commandos are among the Empire's most elite, with the most advanced equipment available. Their armor allows the same flexibility as scout trooper armor, but is reinforced to provide maximum protection against blaster fire and explosions. Both the bodysuit and laminate plates are coated in ""reflec"" polymer, which distorts light and absorbs sound, making the wearer incredibly difficult to detect. The armor's helmet is equipped with macro binoculars and scanner goggles (see page 191 of the Age of Rebellion Core Rulebook) as well as a comlink. While wearing storm commando armor, a character removes [SETBACK] due to darkness, smoke, or similar environmental factors that obscure vision from all of her Perception, Vigilance, and combat checks. Additionally, storm commando armor adds [SETBACK] to other characters' Perception checks to detect the wearer.",armor,0.0,2.0
410,Phase II Clone Trooper Armour,,,,,4,4,3000,6,Yes,,"Phase II of the clone armour was brought in due to an increasing realization that Phase I armour was lacking in adaptability. While the internal life support systems were removed to make way for the more modular nature of the armour, attachments were produced to make up for this. Includes a Comlink with scrambler capable of using all standard republic communications protocols",armor,0.0,2.0
411,N-57 Armour,,,,,5,5,3000,6,No,,"This piece of armour was designed specifically for combat engineers, sold on the general market. This provides a decent degree of protection while ensuring an engineer will have the energy packs required to boost external equipment. As a maneuver, recharge an energy weapon or device that has run out of power or ammunition.",armor,0.0,2.0
412,Layered Beast Armour  (for animals),,,,,4,0,2500,5,No,,"Light and easy to maintain, the AniPro-series layered beast armor by Vetech strikes a good balance between protection and practicality. Somewhat similar to armor suits worn by many of the galaxies law enforcement officers, it is made from thick layers of synthetic fibers reinforced with lengths of energy absorbing armorweave. This material is backed with thin polycarbonate plates at strategic locations on an animals neck, shoulders, back, and legs. Thanks to its design and lightweight construction, AniPro armor doesn't weigh an animal down or restrict it's speed or range of motion, making it easy to wear for extended lengths of time. AniPro beast armor can only be worn by riding or working animals, in addition to providing protection to a mount, this armor allows a character to ride the animal without suffering the bareback riding penalties detailed on page 75. Can only be worn by riding or working animals. Allows rider to ignore bareback riding penalties.",armor,1.0,1.0
413,Smuggler's Trenchcoat,,,,,3,0,1650,7,No,,"Used by many smugglers, this coat is useful for keeping items of interest concealed from the authorities, as well as obfuscating one's form which makes it difficult to hit.  Checks to find items within trenchcoat requires an opposed check with wearer's Skulduggery. Can conceal 2 encumbrance worth of items.",armor,1.0,1.0
414,Koromondain Half-Vest,,,,,3,0,500,5,No,,"A low cost piece of armour, yet still providing significant protection. The setback in this case is the low durability. When suffering a critical hit, damage the armour by one step.",armor,1.0,1.0
415,Second Skin Armour,,,,,2,0,2000,7,No,,"This specialised suit of armour is extremely thin, allowing one to wear it beneath a set of regular clothing, conferring protection without the bulky appearance. Add 2 setback dice to Perception checks to notice the armour on the wearer.",armor,1.0,1.0
416,Mk.IV Riot Armour,,,,,3,1,1850,6,Yes,,"This riot armour is exclusively sold to law enforcement agencies and governments. It is advertised as the last word in protection for riot police, relatively light weight and blast-resistant.  Includes a breath-mask that filters out airborne toxins and gases. Reduce duration of staggered and disoriented effects by 1 round (to minimum of 1 round).",armor,1.0,1.0
417,Wing Commander Armoured Flight Suit,,,,,3,1,1500,6,No,,"Following the design of the Shockrider, this flight suit which is created for space flight and an extra set of deflective plating. It is sealable. Reduce strain to the pilot due to a critical hit to the vehicle by 1. Reduce damage due to fire and the burn quality by 1.",armor,1.0,1.0
418,Armoured Clothing,,,,,3,1,1000,6,No,,"This clothing is a tad bulkier than normal, due to the inclusion of energy-dispersion mesh and other damage soaking pads. For an individual to detect that the clothing is armored, must roll an average (2 difficulty) perception check.",armor,1.0,1.0
419,Personal Mimetic Concealment Suit,,,,,2,2,8000,8,Yes,,"This suit is considered one of the best stealth implements available on the market. While active, it uses optical camouflage to bend light around the wearer and reflect images of the surrounding area. It also has electromagnetic and heat shielding systems to make the wearer invisible to common sensors. The suit is powered by an extremely high output energy cell that can run for about an hour of constant use. Upgrade ability of stealth checks twice. Getting 3 disadvantages or a despair result may cause the suit's power pack to run dry.",armor,1.0,1.0
420,Zephyr Stealth Suit,,,,,2,1,5500,8,Yes,,This suit is built to conceal the wearer both from sight and technological detectors. This model is common among vigilantes and criminals. Upgrade ability of stealth checks by 1.,armor,1.0,1.0
421,Armoured Drop Suit,,,,,6,2,7500,7,No,,"The drop suit is used by special operations troopers, keeping the defended by light laminate - placed in such a way to keep full mobility. It has an in-built repulsor engine that allows a user to quickly move between cover and vantage points in combat.  Engage flight systems as a maneuver, functioning as a Silhouette 0 vehicle with Speed 2, Handling +2 &amp; System Strain 3 requiring Piloting (Planetary). While systems are engaged and user is conscious, do not suffer damage from falls.",armor,1.0,1.0
422,"""Gundark"" Scav-Suit",,,,,4,2,3000,6,No,,"This suit was designed for salvagers and collectors, to assist in finding and assessing all sorts of technology in scrap yards or battlefield wrecks. The helmet carries an advanced sensor suite to greatly facilitate this task.  Add 1 boost dice to Perception checks and an additional 1 boost dice to all checks for detection or analysis of technological parts and items. Suffer 1 setback dice to all Perception checks if the suit becomes damaged in some way.",armor,1.0,1.0
423,Powered Capacitive Armour,,,,,4,2,3000,8,Yes,,"This is a popular item from the line of lightweight armour types, offering flexible protection at all times. However, it contains a power source, that when active, locks the plates in place. May power up armour as a maneuver, gaining defense +1 and soak +1. However, lose free maneuver.",armor,1.0,1.0
424,CF-9 Naval Flight Suit,,,,,3,2,1200,6,Yes,,"These flight suits are produced specifically for clone trooper pilots. They provide the necessary armour for combat situations where the pilot is left without their vehicle, but not too much that it restricts necessary movement for flight.  Includes built-in respirator. Remove 1 setback dice from Piloting (Space and Planetary) checks added due to danger or stress of the action.",armor,1.0,1.0
425,Mountaineer Armour,,,,,3,2,1800,6,No,,This is a thick yet flexible and lightweight suit. It has a set of loops and straps integrated into the outfit's frame - allowing for ropes and rappelling gear to be more efficiently used.  Add 2 boost dice to Athletics checks for climbing or rappel,armor,1.0,1.0
426,Hauling Harness,,,,,3,2,1000,6,No,,"This set of braces and harnesses is a prized piece of equipment in many industries, allowing users to carry heavy loads around when needed, without droid assistance. Increase encumbrance capacity by 6, upgrade combat checks difficulty twice",armor,1.0,1.0
427,Jedi Reconnaissance Armour,,,,,2,2,4000,8,No,,These modified robes were designed to increase Jedi mobility while still allowing for some amount of protection. Add 1 boost dice to Stealth checks,armor,1.0,1.0
428,"""Berethron"" Personal Modular Armour",,,,,3,3,1250,6,Yes,,"This outfit is designed from a protective and lightweight mesh fibre, along with a set of armour plates. It is popular due to the ease for modification. ",armor,1.0,1.0
429,Personal Deflector Shield,,,,,3,0,10000,8,No,,"This is a device worn on a person, able to produce an energy/ray shield which projects around the person who wears it. It may shut down if the wielder rolls a critical failure.",armor,2.0,0.0
430,Reflect Body Glove,,,,,2,0,2500,5,No,,"This skintight suit is typically worn under normal clothing and is extremely effective in providing temporary protection by dispersing energy weapon blasts. However, as it is quite thin, the armour is particularly fragile and susceptible to wear &amp; tear. Add 2 setback dice to Vigilance and Perception checks to notice that the wearer is wearing a reflect body glove. When a combat check against the wearer is successful, reduce the soak by 1 (to a minimum of 0). This may be restored to the original value by making a successful average (2 difficulty) Mechanics check.",armor,0.0,3.0
431,"""Steelskin"" Anti-Concussive Armour",,,,,8,1,6500,7,Yes,,"This is extremely heavy non-powered armour, drawing significant attention on most worlds. Generally, only the strongest species have the strength to bear this armour. Add 1 setback dice to Brawn- and Agility-based checks while wearing armour. Reduce rounds staggered or disoriented by 1.",armor,0.0,3.0
432,Imperial Hazard Trooper Armour,,,,,4,3,18000,8,Yes,,"Imperial Storm Troopers have specialized armor for nearly every situation, and the Imperial hazardous environment protective armor, or ""hazard trooper armor"" is one of the most rugged armor suits in the corps. Using a powered armor frame similar to that of space troopers, hazard trooper armor augments the strength of the wearer and provides protection against radiation, acids, toxic chemical, and extreme pressures or vacuums. Movement in the armor is sluggish due to it's bulk, but a neural interface with the wearer's cybernetics reduces the response time to a minimum, ensuring marksmanship is unimpeded by the armor. While manufactured by the Empire for its exclusive use, hazard trooper armor often finds it's way into the hands of the Rebel Alliance. Hazard troopers are known for their incredible strength, but this actually stems from the troopers standard cybernetic enhancements rather any quality of the armor. More than a few rebel operatives have been disappointed to discover this face after claiming a set of hazard trooper armor in battle. Once active, the armor's internal life support and power systems allow the wearer to survive in radiation zones, toxic environments, and total vacuums for up to twenty four hours. The armor also incorporates a high-powered comlink able to communicate from the ground to low orbit. The helmet is equipped with a multi-frequency targeting and acquisition system which removes the [SETBACK][SETBACK] due to darkness, smoke, or similar environmental factors that obscure vision from the wearer's Perception, Vigilance, and combat checks.",armor,0.0,3.0
433,Timber Cuirass,,,,,4,1,4000,5,No,,"Tholothians turned to developing their own weapons and body armour following the Empire's blockades that aimed to make imported weaponry and armour prohibitively costly. This armour is a marvel of craftsmanship, using a single living piece of Heartwood, which ends up being as strong as durasteel but without the weight. ",armor,1.0,2.0
434,Armoured Robes,,,,,5,2,4500,8,No,,"A set of plastoid armour worn under robes, used by Jedi during the Clone Wars, this set of armour is illegal on all imperial worlds.",armor,1.0,2.0
435,Phase II ARC Trooper Armour,,,,,4,2,5500,7,Yes,,"ARC Trooper Armour was designed as a field test for the basic Phase II clone trooper armour, with additional equipment and accessories. Once the field test was complete, the ARC troopers retained the armour and accessories. Includes an integrated comlink with scrambler capable of using all standard Republic communications protocols. Survival pack incorporates emergency rations, water filtration system, microfiber line and distress beacon.",armor,1.0,2.0
436,Jedi Commander Armour,,,,,5,3,5000,8,Yes,,"These jedi robes have been modified to be somewhat lighter and more body-gripping. Upon these robes are placed strategic amounts of laminate armour, such as bracers and shoulder pads - all in such a way to not impede Force-assisted maneuvers and acrobatic lightsaber forms. ",armor,1.0,2.0
437,Katarn-class Commando Armour,,,,,4,3,6500,8,Yes,,"The Katarn-class armour was designed exclusively for use by clone commandos during the Clone Wars, named for a dangerous predatory beast native to Kashyyyk. It continues to be considered one of the most advanced suits of heavy combat armour ever produced. The armour is fully environmentally sealed; resistant to heat, cold, toxins, radiation and other hazardous environments. Helmet is equipped with an integrated combat scanner, encrypted communications suite, and on-board combat computer that monitors the physical conditions of the wearer and any nearby allies wearing the same armour. The suit has an integrated breath mask with an on-board oxygen supply good for six hours of heavy combat. The armour also comes with a modular backpack system that can be tailored to various battlefield roles, such as medpacs, long-range comms etc.",armor,1.0,2.0
438,Protector 1 Combat Armour,,,,,4,3,5500,7,Yes,,"This is a set of heavier durasteel plates on a mesh suit. Slightly more protective than basic laminate, it has plenty of mobility, being treated favourably by many.",armor,1.0,2.0
439,Heavy Battle Armour,,,,,6,4,5000,7,Yes,,This heavy-duty armour is primarily used by commandos and a variety of combat oriented personalities going after dangerous foes. May be fully sealed.,armor,1.0,2.0
440,Phase I ARC Trooper Armour,,,,,5,4,6000,7,Yes,,"Distributed to the elite ARC troopers of the Clone Army, this armour was supposed to bridge the gap between the relatively inexpensive basic clone armour and exclusive Katarn-class suits. The systems built into this armour remove 1 setback dice from all Perception checks made by the wearer and provide all the benefits of a hardened comlink. Increase wearer's encumbrance threshold by 3.",armor,1.0,2.0
441,Jedi Battle Armour,,,,,5,5,7500,9,Yes,,These suits were crafted by Jedi prior to the Ruusan Reformation in the Old Republic. They are built to fit their owner and provide excellent protection. This can be sealed against vacuum. Wearing unfitted armour adds 2 setback dice to all combat checks. Can fit the armour by passing a hard (3 difficulty) Mechanics check.,armor,1.0,2.0
442,Rebel Heavy Battle Armour,,,,,5,5,6000,8,Yes,,"Most Alliance field tactics focus on hit-and-fade strikes, sabotage, and denial operations, but sometimes the Rebellion has no choice but to stand and fight against Imperial forces. Unfortunately, the Rebellion lacks the manpower and weapons to dominate the Empire in field warfare. Rebel infantry uses heavy battle armor to help ensure their survival when out manned and outgunned by superior Imperial numbers. Rebel heavy battle armor is a combination of composites, laminate, and armored clothing that provides significant overall protection. The base is made of armorweave cloth to dissipate blaster bolts, and plastoid segments over top to protect from fragmentation and blunt force. The combination of materials provides heavy protection while allowing freedom of movement, unlike most full laminate battle suits. Rebel heavy battle armor is equipped with a helmet-fitted breath mask and respirator (See page 195 of the Age of Rebellion Core Rulebook)",armor,1.0,2.0
443,Mandalorian Armour,,,,,6,5,6000,8,Yes,," This specially crafted armour represents the desire to continue the ancient warrior tradition of the Mandalorians. Few are capable of putting together this authentic outfit, and it is almost easier to kill and steal this armour from someone wearing it. The armour itself is easy to customize, which most veteran commandos do.",armor,1.0,2.0
444,Waterweave,,,,,7,1,6500,5,No,,"Waterweave is a composite material created out of native Semblan alloys and minerals. Outside of the water this armour is extremely bulky and heavy, but becomes virtually weightless when submerged. How this happens is unknown, but lends itself to great submersible combat. While submerged, the encumbrance changes to 0.",armor,2.0,1.0
445,Jedi Temple Guard Armour,,,,,4,3,12000,10,Yes,,"Used by the guards of the Jedi Temple, this armour is imposing and makes the wearer anonymous thanks to the armoured mask. Mask contains integrated comlink and scanner.",armor,2.0,1.0
446,Mk II Explosives Disposal Armour,,,,,8,0,5300,6,No,,"The EOD-Mk II is among the most popular explosives disposal suits in the galaxy. This heavy and awkward suit is designed to protect an Engineer working on explosive or potentially dangerous materials. Wearer loses their free movement due to thick padding. The existing data-link allows a connection to control a singel EOD remote (such as the EOD-Mk IV). Despite lacking hardpoints, for 700 credits, the EOD-Mk II can be upgraded with an integrated load-bearing gear system to reduce the encumbrance by 3.-",armor,0.0,4.0
447,Laminate Beast Armour  (for animals),,,,,7,1,8500,7,No,,This set of heavy-duty laminate plates is designed to be fit to riding beasts in order to provide further protection than the lighter Capari-series. This can only be worn by riding beasts. Reduce agility of beast by 1. Allows riding of the beast without the bareback penalty.,armor,0.0,4.0
448,Leviathan Power Armour,,,,,8,1,15000,8,No,,"Each of these suits are a work of art, as all Mon Calamari equipment is. The power armour is considered a technological marvel, fully loaded for war. If the suit is not commissioned for the wearer, upgrade difficulty of Agility and Brawn checks once. Suit is fully sealed and has an integrated respirator. Has the following attachments automatically; heating system, enhanced optics suite, and strength enhancement system. These cannot be removed. Equipped with one Mon Cal Defenses Mini Torpedo Launcher and one Salus DF-D1 Duo-Flechette Rifle.",armor,2.0,2.0
449,Hutt Shell Armour,,,,,6,4,25000,9,Yes,,"This armour is produced for a group of Hutt warriors, containing a set of repulsor lifts which allow the Hutt to hover 5 metres above the ground. These segmented durasteel cylinders provide excellent armour, reminiscent of lightly armoured vehicle plating.  Hutt may ignore effect of Awkward or Ponderous if possessed. Wearer does not expend additional maneuvers for traversing difficult terrain",armor,2.0,2.0
450,Kav-Dann Power Armour,,,,,4,6,13500,7,Yes,,"This set of armour is a super-heavy piece of equipment which is fully sealed and built to withstand even the most extreme conditions in the galaxy... as long as it has a charge. Can survive in vacuum for up to 4 hours. Gain 1 boost dice to resist the effects of radiation. Remove any setback dice caused by darkness, smoke or other environmental factors that might affect vision from all Perception, Vigilance, and Combat checks. Grants Brawn +1 (does not increase soak or wound threshold) as long as it is equipped and powered. If the suit loses power, the encumbrance becomes 12 and defense is lost.",armor,2.0,2.0
451,"PX-11 ""Battlement"" Powered Armour",,,,,3,3,9000,9,Yes,,"The PX-11 is a heavy piece of armour which uses mechanical and powered musculature to reduce the weight on the user, as well as artificially increase their strength. Suit is vacuum-sealed with life support, allowing wearer to survive in a vacuum or toxic environment for up to 1 hour. Suit helmet has a comlink as well as sophisticated sensors removing 2 setback dice from Perception, Surveillance, Vigilance and combat skill checks due to darkness, smoke, or environmental factors that obscure vision. Power pack lasts 12 hours of use. Brawn +1 while wearing armour (does not increase soak or wound threshold). Athletics skill +1 while wearing armour. If armour loses power, encumbrance becomes 12, defense becomes 0 and lose Brawn increase.",armor,1.0,3.0
